customer_id,full_name,total_revenue
15,Nidhi Mehta,10514.12
18,Prakash Reddy,2076.82
20,Rashmi Kapoor,8168.90
36,Rashmi Malhotra,20466.51
62,Arjun Verma,1874.85
73,Deepak Khan,14880.18
84,Sharma,4501.29
85,Prakash Banerjee,12797.38
92,Pooja Das,1223.44
99,Riya Chatterjee,459.63
139,Manish Malhotra,810.82
154,Shreya Reddy,4599.72
157,Swati Das,10378.96
164,Anjali Verma,7765.55
166,Swati Mehta,5929.98
183,Neha Singh,3764.38
190,Aarti Verma,9555.16
195,Meera Chatterjee,23607.18
204,Pooja Gupta,586.99
206,Vikas Sharma,10359.00
209,Manish Reddy,2622.38
214,Nidhi Banerjee,10141.82
227,Pooja Iyer,14242.48
233,Anjali Verma,17190.60
237,Deepak Patel,21158.46
240,Preeti Agarwal,7962.20
250,Suresh Verma,7180.92
271,Aarti Patel,4654.39
273,Kavita Reddy,7890.26
295,Anjali Reddy,8012.31
298,Anjali Mehta,15439.66
319,Nidhi Banerjee,11493.94
324,Nidhi Singh,8698.71
332,Rashmi Khan,6637.35
359,Aarti Iyer,12543.30
372,Nitin Singh,6592.74
377,Anjali Chatterjee,2108.56
378,Kavita Reddy,9044.34
410,Swati Malhotra,7914.05
413,Swati Iyer,23520.03
425,Prakash Reddy,4613.03
440,Preeti Chatterjee,11679.48
441,Neha Khan,6008.86
454,Priya Verma,2782.78
458,Prakash Sharma,1056.47
460,Nidhi Iyer,5460.86
474,Riya Reddy,10430.82
480,Swati Chatterjee,23937.36
494,Priya Iyer,1685.62
501,Arjun Khan,11513.70
503,Rashmi Das,6564.46
529,Ajay Gupta,22119.18
531,Vikas Khan,5787.45
532,Prakash Sharma,1944.06
545,Aarti Patel,13207.58
552,Neha Malhotra,611.62
570,Rahul Singh,1500.76
582,Arjun Kapoor,3390.78
606,Anjali Kapoor,8234.44
623,Shreya Singh,18229.32
625,Rahul Banerjee,15493.32
638,Isha Iyer,9102.60
644,Kavita Kapoor,9623.46
663,Preeti Agarwal,3861.46
699,Sanjay Agarwal,13704.26
706,Rashmi Malhotra,22583.49
728,Pooja Agarwal,5527.64
736,Kunal Gupta,6034.19
739,Deepak Singh,5639.70
762,Neha Gupta,6166.77
774,Riya Khan,15318.58
781,Ajay Banerjee,3439.44
803,Isha Reddy,9584.28
806,Swati Sharma,9453.06
810,Deepak Reddy,2843.28
811,Swati Singh,16912.50
812,Pooja Malhotra,2274.81
822,Vikas Agarwal,7686.69
828,Aarti Banerjee,13856.66
838,Meera Iyer,7831.34
853,Nidhi Malhotra,12550.22
858,Kavita Iyer,6886.20
904,Riya Iyer,8648.54
