customer_id,full_name,recency_days,frequency,monetary,segment
868685,Sanjay Agarwal,144,3,99425.07,At Risk
622828,Shreya Das,238,3,96919.55,Lost
858148,Neha Patel,61,2,96533.13,Active
98591,Shreya Das,71,3,95562.79,Active
120250,Swati Das,172,3,95279.32,At Risk
585728,Isha Malhotra,120,3,90430.75,At Risk
975964,Kavita Mehta,292,2,89919.60,Lost
104305,Sneha Banerjee,113,2,89210.51,At Risk
951576,Meera Malhotra,98,2,88659.98,At Risk
284606,Riya Iyer,102,3,86055.54,At Risk
430034,Kavita Banerjee,64,2,85048.01,Active
891918,Neha Gupta,143,3,82926.50,At Risk
64460,Isha Khan,133,2,79818.88,At Risk
498769,Kavita Verma,90,3,79404.97,Active
852798,Anjali Malhotra,153,3,79227.74,At Risk
621958,Amit Singh,154,3,79208.64,At Risk
351314,Nidhi Mehta,118,3,77959.60,At Risk
613328,Riya Singh,148,3,77858.39,At Risk
645750,Rahul Patel,179,3,77799.24,At Risk
405033,Prakash Das,133,2,77673.08,At Risk
524487,Swati Mehta,224,3,77522.87,Lost
590050,Ankit Patel,128,2,77127.59,At Risk
114766,Pooja Reddy,140,2,76653.12,At Risk
479412,Vikas Mehta,299,2,76507.69,Lost
301107,Priya Verma,218,2,76355.63,Lost
535941,Ajay,187,3,76114.92,Lost
985926,Meera Reddy,300,2,75936.01,Lost
636039,Priya Mehta,93,2,75859.65,At Risk
38373,Isha Singh,373,2,75690.42,Lost
582987,Neha Banerjee,147,2,74840.17,At Risk
100037,Manish Das,115,2,74714.51,At Risk
270290,Ajay Malhotra,135,3,74275.08,At Risk
128321,Vikas Agarwal,168,2,73982.28,At Risk
872198,Isha Iyer,342,2,73753.85,Lost
286092,Anjali Verma,87,2,73735.14,Active
792178,Rohit Mehta,222,2,72947.30,Lost
815049,Rashmi Kapoor,81,2,72835.21,Active
787445,Aarti Gupta,115,2,72701.09,At Risk
2359,Riya Khan,153,2,72625.57,At Risk
334150,Anjali Patel,112,2,72511.81,At Risk
589216,Aarti Das,90,3,72433.10,Active
303656,Nidhi Khan,67,2,72203.71,Active
540318,Amit Reddy,67,3,72129.45,Active
560096,Pooja Malhotra,272,2,71822.80,Lost
931917,Suresh Khan,133,3,71791.29,At Risk
612524,Ajay Verma,249,2,71716.72,Lost
252294,Neha Reddy,182,2,71535.54,Lost
392264,Nidhi Chatterjee,234,2,71272.58,Lost
398486,Anjali Mehta,66,2,70739.94,Active
995630,Sneha Patel,148,2,70701.95,At Risk
765104,Meera Singh,82,2,70102.71,Active
831388,Isha Verma,128,2,70055.02,At Risk
966409,Priya Sharma,166,4,70023.97,At Risk
18802,Neha Patel,89,2,69966.76,Active
907103,Isha Gupta,92,2,69853.28,At Risk
333410,Priya Reddy,54,2,69679.41,Active
76768,Kavita Reddy,112,2,69432.54,At Risk
276190,Pooja Reddy,197,2,69354.28,Lost
264805,Anjali Malhotra,296,2,69232.72,Lost
411238,Sneha Malhotra,89,3,69001.59,Active
580420,Sneha Das,105,2,68840.23,At Risk
180214,Riya Gupta,87,2,68661.43,Active
997381,Sneha Patel,82,3,68641.47,Active
339363,Anjali Kapoor,200,2,68201.13,Lost
411210,Rashmi Mehta,335,2,67880.35,Lost
274369,Suresh Iyer,97,2,67846.45,At Risk
142383,Deepak Singh,183,2,67714.56,Lost
739400,Swati Kapoor,192,2,67479.99,Lost
129663,Prakash Verma,164,2,67427.93,At Risk
629481,Vikas Mehta,283,2,67289.88,Lost
260721,Isha Mehta,157,2,67188.62,At Risk
118422,Priya Khan,289,2,67100.55,Lost
504643,Preeti Gupta,78,2,66977.82,Active
821475,Kunal Kapoor,228,2,66836.55,Lost
915578,Anjali Malhotra,148,2,66818.87,At Risk
147006,Kunal Patel,65,2,66800.34,Active
426999,Priya Chatterjee,148,2,66765.37,At Risk
880471,Manish Chatterjee,202,2,66754.02,Lost
70434,Sneha Chatterjee,216,2,66597.88,Lost
878792,Shreya Singh,77,2,66244.44,Active
926615,Priya Iyer,93,2,66075.68,At Risk
545023,Rohit Patel,56,2,66062.94,Active
861042,Rashmi Mehta,294,2,66007.01,Lost
931481,Rashmi,90,3,65870.15,Active
999353,Nidhi Agarwal,67,2,65683.09,Active
802857,Aarti Iyer,60,2,65675.87,Active
44810,Ankit Iyer,257,2,65568.30,Lost
25269,Amit Reddy,175,3,65565.04,At Risk
368543,Priya Singh,267,2,65550.84,Lost
358312,Swati Malhotra,75,2,65411.83,Active
755688,Anjali Banerjee,259,2,65064.19,Lost
266060,Swati Das,182,2,64871.37,Lost
789042,Sanjay Iyer,252,2,64760.89,Lost
8497,Riya Patel,196,2,64694.50,Lost
971689,Rashmi Sharma,131,2,64689.25,At Risk
8701,Swati Mehta,323,2,64642.13,Lost
104568,Kapoor,101,2,64616.98,At Risk
824681,Kavita Patel,82,2,64505.37,Active
568930,Neha Chatterjee,177,2,64371.52,At Risk
224124,Deepak,141,2,64334.28,At Risk
471101,Preeti Patel,70,3,64257.75,Active
528842,Amit Reddy,184,2,64107.11,Lost
487926,Sneha Chatterjee,156,2,64064.39,At Risk
137175,Pooja Malhotra,79,3,63941.93,Active
689455,Arjun Sharma,207,2,63901.02,Lost
753905,Nidhi Kapoor,216,2,63854.46,Lost
104827,Swati Gupta,151,2,63760.16,At Risk
145180,Prakash Das,126,2,63691.06,At Risk
81251,Vivek Malhotra,104,3,63576.51,At Risk
150107,Anjali Sharma,266,1,63554.01,Lost
689256,Meera Agarwal,365,1,63541.13,Lost
711087,Neha Iyer,130,2,63476.88,At Risk
62945,Vikas Gupta,131,2,63471.68,At Risk
308227,Vikas Iyer,221,2,63436.73,Lost
469346,Rashmi Malhotra,87,1,63283.42,Active
9918,Swati Khan,221,2,63271.84,Lost
873083,Preeti Chatterjee,196,2,63003.70,Lost
440068,Nitin Banerjee,163,2,62963.13,At Risk
626551,Nidhi Reddy,99,2,62567.13,At Risk
642626,Suresh Khan,61,2,62523.60,Active
387667,Amit Sharma,97,3,62494.23,At Risk
79867,Priya Patel,293,2,62410.59,Lost
376358,Kunal Reddy,125,2,62391.90,At Risk
750490,Suresh Chatterjee,315,1,62381.83,Lost
942233,Pooja Patel,101,2,62291.04,At Risk
307160,Isha Singh,194,2,62289.33,Lost
985090,Sanjay Chatterjee,203,2,62255.72,Lost
688528,Neha Chatterjee,98,2,62225.14,At Risk
342518,Ankit Mehta,287,2,62196.97,Lost
551340,Kapoor,228,2,62169.72,Lost
639344,Vivek Sharma,170,2,62117.29,At Risk
301005,Amit Verma,114,2,62071.95,At Risk
161280,Nidhi Khan,324,2,62068.97,Lost
326583,Rashmi Gupta,122,2,62055.36,At Risk
176530,Preeti Gupta,338,1,62046.02,Lost
24589,Vikas Kapoor,87,2,62045.03,Active
314228,Priya Patel,182,2,61878.48,Lost
823398,Shreya Chatterjee,310,2,61807.35,Lost
347938,Swati Verma,134,2,61783.16,At Risk
272831,Neha Mehta,137,1,61714.80,At Risk
526585,Riya Mehta,94,2,61673.51,At Risk
299958,Manish Verma,241,2,61626.46,Lost
14042,Isha Kapoor,69,2,61424.52,Active
258692,Vikas Banerjee,250,2,61421.52,Lost
311282,Priya Verma,81,2,61389.66,Active
981202,Sneha Patel,225,2,61245.38,Lost
366675,Riya Iyer,293,2,61123.80,Lost
590648,Verma,247,2,61037.93,Lost
229122,Nidhi Patel,115,2,60926.39,At Risk
463134,Nidhi Reddy,95,1,60868.15,At Risk
964625,Ajay Agarwal,206,3,60812.75,Lost
829281,Isha Banerjee,320,1,60802.67,Lost
65693,Neha Banerjee,81,2,60793.89,Active
981267,Arjun Agarwal,69,3,60670.71,Active
153083,Rohit Reddy,186,2,60668.45,Lost
731470,Priya Patel,201,2,60446.40,Lost
338717,Nidhi Malhotra,244,3,60303.80,Lost
333923,Amit Patel,354,1,60282.96,Lost
477222,Meera Sharma,134,2,60267.02,At Risk
876504,Suresh Das,162,2,60245.36,At Risk
485260,Meera Khan,70,2,60218.16,Active
410878,Meera Reddy,165,2,60217.18,At Risk
505261,Sneha Verma,93,2,60209.60,At Risk
359985,Kunal Khan,293,2,60039.32,Lost
939259,Isha Sharma,157,2,59956.20,At Risk
399736,Shreya Patel,80,2,59903.17,Active
860382,Neha Reddy,161,2,59875.27,At Risk
147275,Suresh Chatterjee,213,2,59806.11,Lost
196051,Sneha Sharma,157,2,59778.60,At Risk
831930,Rashmi Agarwal,72,4,59732.24,Active
59760,Isha Das,109,2,59723.53,At Risk
216587,Sneha Malhotra,105,2,59722.95,At Risk
547716,Kunal Iyer,287,1,59668.07,Lost
939607,Isha Das,112,2,59567.28,At Risk
428934,Riya Malhotra,75,2,59467.24,Active
831161,Prakash Khan,316,2,59403.88,Lost
312229,Priya Agarwal,64,2,59391.08,Active
364739,Nitin Verma,106,4,59322.30,At Risk
338159,Shreya Khan,131,2,59275.02,At Risk
181841,Preeti Khan,128,2,59251.51,At Risk
953418,Vikas Sharma,60,2,59108.17,Active
57241,Arjun Das,113,2,59077.65,At Risk
845369,Swati Banerjee,235,1,59070.68,Lost
386275,Preeti Chatterjee,298,1,59068.21,Lost
569668,Neha Verma,171,2,59016.65,At Risk
641280,Amit Singh,54,2,58968.52,Active
622812,Sneha Gupta,194,2,58901.77,Lost
164743,Rashmi Gupta,69,3,58871.11,Active
351767,Arjun Agarwal,358,2,58863.90,Lost
878388,Meera Agarwal,132,1,58836.86,At Risk
41389,Rashmi Das,215,2,58829.34,Lost
386485,Pooja Iyer,188,2,58818.30,Lost
789294,Meera Reddy,163,2,58809.85,At Risk
653285,Neha Das,331,3,58761.29,Lost
930618,Ajay Mehta,135,2,58750.37,At Risk
622849,Preeti Verma,259,1,58689.13,Lost
200032,Nidhi Patel,124,2,58640.84,At Risk
256307,Vivek Singh,162,2,58596.85,At Risk
896713,Anjali Kapoor,354,2,58538.48,Lost
41424,Manish Agarwal,250,2,58526.79,Lost
762535,Rohit Banerjee,259,2,58470.14,Lost
601093,Rohit Reddy,396,1,58417.10,Lost
597286,Sneha Kapoor,368,1,58413.21,Lost
185797,Aarti Chatterjee,123,2,58371.95,At Risk
388474,Riya Gupta,61,2,58360.96,Active
888384,Neha Kapoor,276,1,58347.87,Lost
197761,Riya Kapoor,245,2,58194.47,Lost
986199,Aarti Gupta,127,2,58148.75,At Risk
450069,Rashmi Reddy,256,2,58084.92,Lost
832938,Nidhi Kapoor,64,2,58083.65,Active
283752,Prakash Verma,369,1,57967.85,Lost
723509,Prakash Mehta,249,2,57927.71,Lost
329359,Suresh Iyer,233,2,57907.84,Lost
746152,Isha Malhotra,138,3,57892.22,At Risk
75402,Nitin Singh,314,1,57873.38,Lost
135767,Prakash Patel,174,2,57870.28,At Risk
649535,Nitin Reddy,178,3,57775.56,At Risk
95019,Rashmi Das,107,2,57764.95,At Risk
968741,Nidhi Patel,260,2,57695.92,Lost
302310,Suresh Kapoor,117,3,57669.92,At Risk
757953,Nidhi Gupta,225,1,57633.45,Lost
167898,Rohit Reddy,184,2,57631.16,Lost
397275,Prakash Reddy,166,2,57543.39,At Risk
344823,Vikas Patel,159,2,57524.56,At Risk
684656,Sneha Verma,166,2,57358.65,At Risk
94020,Anjali Iyer,130,3,57352.08,At Risk
179820,Aarti Singh,265,2,57333.16,Lost
818506,Sanjay Gupta,93,2,57329.12,At Risk
530765,Ajay Agarwal,196,3,57206.92,Lost
474368,Aarti Malhotra,145,1,57204.67,At Risk
